candidate_id,source_project,module,file,repo_url,commit_sha,branch,source_priority,primary_target_id,target_ids,operations,priorities,matched_keywords,max_match_score,validation_status,runtime_status
CAND-0001,basejump_stl,bsg_abs,bsg_misc/bsg_abs.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,FP-08,FP-08,sign_abs_classify,P1,abs,12,not_run,discovery_candidate
CAND-0002,basejump_stl,bsg_adder_cin,bsg_misc/bsg_adder_cin.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,INT-01,INT-01,add_sub,P0,adder,12,not_run,discovery_candidate
CAND-0003,basejump_stl,bsg_adder_one_hot,bsg_misc/bsg_adder_one_hot.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,INT-01,INT-01,add_sub,P0,adder,12,not_run,discovery_candidate
CAND-0004,basejump_stl,bsg_adder_ripple_carry,bsg_misc/bsg_adder_ripple_carry.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,INT-01,INT-01,add_sub,P0,adder,12,not_run,discovery_candidate
CAND-0005,basejump_stl,bsg_array_concentrate_static,bsg_misc/bsg_array_concentrate_static.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,CPU-12,CPU-12,register_rename_table,P1,rat,12,not_run,discovery_candidate
CAND-0006,basejump_stl,bsg_cam_1r1w,bsg_mem/bsg_cam_1r1w.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,MEM-11,MEM-11,cam_tag_cam,P1,cam,12,not_run,discovery_candidate
CAND-0007,basejump_stl,bsg_cam_1r1w_replacement,bsg_mem/bsg_cam_1r1w_replacement.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,MEM-11,MEM-11,cam_tag_cam,P1,cam,12,not_run,discovery_candidate
CAND-0008,basejump_stl,bsg_cam_1r1w_sync,bsg_mem/bsg_cam_1r1w_sync.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,MEM-11,MEM-11,cam_tag_cam,P1,cam,12,not_run,discovery_candidate
CAND-0009,basejump_stl,bsg_cam_1r1w_sync_unmanaged,bsg_mem/bsg_cam_1r1w_sync_unmanaged.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,MEM-11,MEM-11,cam_tag_cam,P1,cam,12,not_run,discovery_candidate
CAND-0010,basejump_stl,bsg_cam_1r1w_tag_array,bsg_mem/bsg_cam_1r1w_tag_array.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,MEM-11,MEM-11,cam_tag_cam,P1,cam,12,not_run,discovery_candidate
CAND-0011,basejump_stl,bsg_cam_1r1w_unmanaged,bsg_mem/bsg_cam_1r1w_unmanaged.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,MEM-11,MEM-11,cam_tag_cam,P1,cam,12,not_run,discovery_candidate
CAND-0012,basejump_stl,bsg_channel_narrow,bsg_dataflow/bsg_channel_narrow.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,VEC-05,VEC-05,pack_unpack_widen_narrow,P1,narrow,12,not_run,discovery_candidate
CAND-0013,basejump_stl,bsg_concentrate_static,bsg_misc/bsg_concentrate_static.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,CPU-12,CPU-12,register_rename_table,P1,rat,12,not_run,discovery_candidate
CAND-0014,basejump_stl,bsg_counter_clear_up_saturating,bsg_misc/bsg_counter_clear_up_saturating.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,CPU-12,CPU-12,register_rename_table,P1,rat,12,not_run,discovery_candidate
CAND-0015,basejump_stl,bsg_fifo_1r1w_narrowed,bsg_dataflow/bsg_fifo_1r1w_narrowed.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,VEC-05,VEC-05,pack_unpack_widen_narrow,P1,narrow,12,not_run,discovery_candidate
CAND-0016,basejump_stl,bsg_idiv_iterative,bsg_misc/bsg_idiv_iterative.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,CPU-12,CPU-12,register_rename_table,P1,rat,12,not_run,discovery_candidate
CAND-0017,basejump_stl,bsg_idiv_iterative_controller,bsg_misc/bsg_idiv_iterative_controller.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,CPU-12,CPU-12,register_rename_table,P1,rat,12,not_run,discovery_candidate
CAND-0018,basejump_stl,bsg_imul_iterative,bsg_misc/bsg_imul_iterative.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,CPU-12,CPU-12,register_rename_table,P1,rat,12,not_run,discovery_candidate
CAND-0019,basejump_stl,bsg_mux,bsg_misc/bsg_mux.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,DF-04,DF-04,mux,P0,mux,12,not_run,discovery_candidate
CAND-0020,basejump_stl,bsg_mux2_gatestack,bsg_misc/bsg_mux2_gatestack.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,DF-04,DF-04,mux,P0,mux,12,not_run,discovery_candidate
CAND-0021,basejump_stl,bsg_mux_bitwise,bsg_misc/bsg_mux_bitwise.sv,https://github.com/bespoke-silicon-group/basejump_stl.git,b48037e28544425839dbd617d45b1a82631bc1a9,master,A,DF-04,DF-04,mux,P0,mux,12,not_run,discovery_candidate
